Capacity [A.h],Voltage [V]
0.2530869220170362,0.10916666666666663
0.35066219781675745,0.10503472222222232
0.44889187821001797,0.10090277777777779
0.48278015747058645,0.09677083333333347
0.49430967146745475,0.09263888888888894
0.5014274736723477,0.0885069444444444
0.5073351078396987,0.08437500000000009
0.5126802356603801,0.08024305555555555
0.5184388565910024,0.07611111111111124
0.5296753842837514,0.0719791666666667
0.5717977223449324,0.06784722222222217
0.709939615988803,0.06371527777777786
0.8807064432518559,0.05958333333333332
0.9473699083330392,0.05545138888888901
0.9625894564333293,0.05131944444444447
0.9666276914982914,0.04718749999999994
0.9685349779170787,0.043055555555555625
0.9699406218920366,0.03892361111111109
0.9711431844786441,0.034791666666666776
0.9722112795624559,0.03065972222222224
0.9731717039398873,0.026527777777777706
0.9740416435317882,0.022395833333333393
0.9748345060774711,0.018263888888888857
0.975561259877396,0.014131944444444544
0.9762309662794507,0.01
